BCCenergy_pa_composition_average,HeatVaporization_max_value,MeltingT_max_value,HeatVaporization_difference,BCCfermi_composition_average,MeltingT_difference,HeatVaporization_composition_average,BoilingT_composition_average,phi_max_value,NdValence_composition_average,HHIp_composition_average,valence_composition_average,phi_difference,HeatFusion_composition_average,n_ws^third_composition_average,n_ws^third_max_value,NValance_composition_average,GSenergy_pa_composition_average,CovalentRadii_composition_average,GSmagmom_composition_average,ThermalExpansionCoefficient_composition_average,MiracleRadius_composition_average,BCCmagmom_composition_average,BCCvolume_padiff_composition_average,MeltingT_composition_average
-5.114190378,737.0,3290.0,733.5891,3.577786698,3235.2,228.10654,1923.86,4.05,0.8,2720.0,2.8,0.8499999999999996,9.724,0.568,1.63,8.0,-6.517275006,1.03,0.0,471.52,103.2,0.0,-1.032,1050.6799999999996
-4.437365444,590.5,2128.0,587.0891,3.336148118,2073.2,198.80654,1714.06,3.45,0.6000000000000001,2940.0,2.6,0.25,6.6099999999999985,0.524,1.41,5.0,-5.8561868089999995,1.052,0.0,471.4,105.8,0.0,-1.121,818.2800000000002
-4.6814670739999995,590.4,2896.0,586.9891,4.8993670415,2841.2,199.72704,1777.91,4.65,1.2,2695.0,3.0,1.4800000000000004,9.1275,0.5914999999999999,1.77,5.4,-6.085658613500001,0.9665,0.0,470.305,103.2,0.000120765,-0.970875,880.98
-4.530909826,690.1,2750.0,686.6891,4.1523318835000005,2695.2,219.66704,1798.91,4.05,1.0,3915.0,2.8,0.8799999999999999,7.6315,0.5654999999999999,1.64,5.2,-5.9351013655,0.9745,0.0,470.805,104.0,0.000120765,-0.970875,851.78
-4.882525428,737.0,3290.0,733.5891,4.259216179500002,3235.2,229.04703999999998,1941.71,4.05,0.8,2675.0,2.8,0.8799999999999999,8.9455,0.5634999999999999,1.63,8.0,-6.2867169675,0.9745,0.0,470.605,104.4,0.000120765,-0.970875,959.78
-4.300097658,446.7,2183.0,443.2891,4.4629718655,2128.2,170.98703999999998,1531.5099999999998,4.25,0.8,2875.0,2.8,1.08,5.9315,0.5654999999999999,1.64,5.2,-5.7042891975,0.9505,0.0,471.025,102.2,0.000120765,-0.970875,738.38
-4.205700493999999,590.5,2128.0,587.0891,4.017577599500002,2073.2,199.74704,1731.91,3.45,0.6000000000000001,2895.0,2.6,0.28000000000000025,5.8315,0.5195,1.41,5.0,-5.6256287705000005,0.9965,0.0,470.485,107.0,0.000120765,-1.059875,727.38
-4.758688724,590.4,2896.0,586.9891,4.672223881,2841.2,199.41353999999998,1771.96,4.65,1.2,2710.0,3.0,1.4800000000000004,9.387,0.593,1.77,5.4,-6.162511293,0.985,0.0,470.61,102.79999999999998,8.051e-05,-0.99125,911.28
-4.6081314760000005,690.1,2750.0,686.6891,3.925188723,2695.2,219.35353999999998,1792.96,4.05,1.0,3930.0,2.8,0.8799999999999999,7.891,0.5670000000000001,1.64,5.2,-6.011954045,0.993,0.0,471.11,103.6,8.051e-05,-0.99125,882.08
-4.959747078,737.0,3290.0,733.5891,4.032073018999999,3235.2,228.73353999999998,1935.76,4.05,0.8,2690.0,2.8,0.8799999999999999,9.205,0.565,1.63,8.0,-6.363569647,0.993,0.0,470.91,104.0,8.051e-05,-0.99125,990.08
-4.377319308,446.7,2183.0,443.2891,4.2358287049999985,2128.2,170.67354,1525.56,4.25,0.8,2890.0,2.8,1.08,6.190999999999999,0.5670000000000001,1.64,5.2,-5.7811418770000005,0.969,0.0,471.33,101.79999999999998,8.051e-05,-0.99125,768.68
-4.2829221440000005,590.5,2128.0,587.0891,3.7904344389999998,2073.2,199.43354,1725.96,3.45,0.6000000000000001,2910.0,2.6,0.28000000000000025,6.090999999999998,0.5209999999999999,1.41,5.0,-5.7024814500000005,1.015,0.0,470.79,106.6,8.051e-05,-1.08025,757.68
-4.438529609,590.4,2896.0,586.9891,4.1903053275,2841.2,177.03104,1678.06,4.65,1.0,2355.0,2.95,2.3300000000000005,9.0175,0.5745,1.77,5.65,-5.835547303999999,1.0445,0.0,470.8,104.8,0.0,-1.03275,842.6800000000002
-4.6395879629999985,737.0,3290.0,733.5891,3.5501544655000004,3235.2,206.35103999999998,1841.86,4.05,0.6,2335.0,2.75,1.73,8.8355,0.5465,1.63,8.25,-6.036605657999999,1.0525,0.0,471.1,106.0,0.0,-1.03275,921.48
-4.0571601930000005,446.7,2183.0,443.2891,3.7539101515,2128.2,148.29103999999998,1431.66,4.25,0.6,2535.0,2.75,1.93,5.8215,0.5485,1.64,5.45,-5.454177887999999,1.0285,0.0,471.52,103.8,0.0,-1.03275,700.08
-3.962763029,590.5,2128.0,587.0891,3.3085158855000003,2073.2,177.05104,1632.06,3.45,0.4,2555.0,2.55,1.1300000000000003,5.7215,0.5025,1.41,5.25,-5.375517461,1.0745,0.0,470.98,108.6,0.0,-1.12175,689.08
-4.30227873,590.4,2896.0,586.9891,4.090686155,2841.2,167.40954,1607.06,4.65,1.0,2030.0,2.9,2.3300000000000005,9.028999999999998,0.5549999999999999,1.77,5.5,-5.693031919,1.061,0.0,471.56,106.8,0.0,-1.0435,832.48
-4.503337084,737.0,3290.0,733.5891,3.450535293,3235.2,196.72954,1770.86,4.05,0.6,2010.0,2.7,1.73,8.847000000000001,0.5269999999999999,1.63,8.1,-5.894090273,1.069,0.0,471.86,108.0,0.0,-1.0435,911.28
-3.82651215,590.5,2128.0,587.0891,3.208896713,2073.2,167.42953999999997,1561.06,3.45,0.4,2230.0,2.5,1.1300000000000003,5.733,0.483,1.41,5.1,-5.233002076,1.091,0.0,471.74,110.6,0.0,-1.1324999999999998,678.88
-4.4387164565,590.4,2896.0,586.9891,4.2550944715,2841.2,177.75454,1658.76,4.65,1.0,2400.0,2.95,2.1000000000000005,9.088499999999998,0.5794999999999999,1.77,5.65,-5.8367876692500005,1.0325,0.0,470.885,103.7,0.0,-1.08025,848.4300000000002
-4.2881592085000015,690.1,2750.0,686.6891,3.5080593135000004,2695.2,197.69454,1679.76,4.05,0.8,3620.0,2.75,1.5,7.5924999999999985,0.5534999999999999,1.64,5.45,-5.68623042125,1.0405,0.0,471.385,104.5,0.0,-1.08025,819.23
